"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"473",,"Pterygoplichthys sp.","Pterygoplichthys sp","LORICARIIDAE","PTER",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"480",,"Cichlid Family","Cichlidae","CICHLIDAE","CICH",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"481",,"Oscar","Astronotus ocellatus","CICHLIDAE","Osca",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"482",,"Jaguar Guapote","Parachromis managuensis","CICHLIDAE","JaGua",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"483",,"Tench","Tinca tinca","TINCIDAE","Tench",FALSE,50,465,50,484,2,1392,0.82,0.97,2.15,2,1.92992,1.02764
"490",,"Loach Family","Cobitidae","COBITIDAE","LOACH",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"491",,"Pond Loach","Misgurnus anguillicaudatus","COBITIDAE","PndLo",FALSE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"500",,"Pike Family Hybrids","Esocidae Hybrids","ESOCIDAE Hybrids","HyESO",FALSE,48,1330,52,1410,1,23587,0.26,0.38,1.48,1.34,1.60517,1.06159
"501",,"Northern Pike x Grass Pickerel","Esox lucius x Esox americanus vermiculatus","ESOCIDAE Hybrids","HyESO",FALSE,48,1100,52,1170,1,14500,0.32,0.4,1.08,1,6.82595,1.05147
"502",,"Tiger Muskellunge (Northern Pike x Muskellunge)","Esox lucius x Esox masquinongy","ESOCIDAE Hybrids","HyESO",FALSE,48,1330,52,1410,1,23587,0.26,0.38,1.48,1.34,1.60517,1.06159
"550",,"Sucker Family Hybrids","Catostomidae Hybrids","CATOSTOMIDAE Hybrids","HyCAT",FALSE,19,711,20,790,1,6000,0.52,0.66,3.18,2.94,-3.33743,1.08634
"551",,"Ictiobus Hybrids","Ictiobus Hybrids","CATOSTOMIDAE Hybrids","HyCAT",FALSE,50,591,55,670,2,4850,0.92,1.07,3.18,2.94,1.24409,1.13093
"600",,"Carp Hybrids","Cyprinidae Hybrids","CYPRINIDAE Hybrids","HyCYP",FALSE,3,864,5,959,0.1,16250,0.05,0.1,3.04,2.79,-0.05716,1.09707
"601",,"Goldfish x Common Carp","Carassius auratus x Cyprinus carpio","CYPRINIDAE Hybrids","HyCYP",FALSE,24,864,28,959,1,16250,0.77,0.96,3.04,2.79,1.85526,1.09478
